animal,N,ID,Subspecies,B2.TOT,B2.UV,B2.VIS,B2.NIR,B2.TOT.EGG,B2.UV.EGG,B2.VIS.EGG,B2.NIR.EGG,class,treetax_initial_class
Daboia_palaestinae,188,DABPAL,NA,31.33385046,24.88590003,30.16521779,34.37610958,NA,NA,NA,NA,Squamata,
Dolichophis_jugularis,189,DOLJUG,NA,49.07661681,44.45274041,48.65222651,50.78503681,NA,NA,NA,NA,Squamata,
Echis_coloratus,190,ECHCOL,NA,22.83792212,20.12158911,22.19181601,24.28756845,36.25350599,18.86053521,33.41475973,42.31666708,Squamata,
Eirenis_decemlineatus,191,EIRDEC,NA,28.24640919,13.96441626,29.82067971,30.09157718,NA,NA,NA,NA,Squamata,
Elaphe_sauromates,192,ELASAU,NA,25.28110024,13.88418347,25.09346626,28.46730621,NA,NA,NA,NA,Squamata,
Eryx_jaculus,193,ERYJAC,NA,43.27137151,39.23140197,41.48698349,46.44590116,NA,NA,NA,NA,Squamata,
Eublepharis_macularius,194,EUBMAC,NA,20.72297974,12.93274181,21.36377002,21.9992894,70.58176964,70.97727863,71.47706608,71.04538611,Squamata,
Eumeces_schneideri,195,EUMSCH,NA,37.88257636,18.9188713,40.80040339,39.34494345,48.02967588,29.40690953,41.55431196,57.996535,Squamata,
Heloderma_suspectum,196,HELSUS,NA,32.08559453,13.61721743,30.62467286,38.63087408,39.77151171,44.40972833,32.43938674,45.0649161,Squamata,
Hemorrhois_nummifer,197,HEMNUM,NA,17.12994744,13.62567908,16.58899225,18.68845275,NA,NA,NA,NA,Squamata,
Iguana_iguana,198,IGUIGU,NA,20.20015879,8.40300764,25.09453604,17.44237147,49.22514454,24.81531501,45.58034282,57.68954876,Squamata,
Malpolon_monspessulanus,199,MALINS,NA,32.60871893,28.42622867,29.2353481,37.68730694,NA,NA,NA,NA,Squamata,
Mediodactylus_kotschyi,200,MEDKOT,NA,23.45044305,21.92355401,27.13351458,19.48501347,NA,NA,NA,NA,Squamata,
Natrix_tessellata,201,NATTAS,NA,26.85300153,22.05032539,27.93607364,26.8264457,40.73150014,23.31352865,27.79893021,56.033522,Squamata,
Phoenicolacerta_laevis,202,PHOLAE,NA,26.41254465,17.61670939,34.90699815,18.59829731,NA,NA,NA,NA,Squamata,
Platyceps_collaris,203,PLACOL,NA,29.72999644,20.59781409,32.45399206,28.86992344,NA,NA,NA,NA,Squamata,
Platyceps_rogersi,204,PLAROG,NA,41.04725945,28.28854616,46.47538686,37.91396216,NA,NA,NA,NA,Squamata,
Pogona_vitticeps,205,POGVIT,NA,32.28752547,12.37831871,32.06658361,37.73508455,75.74578908,76.6022442,72.47875682,78.69318474,Squamata,
Ptyodactylus_guttatus,206,PTYGUT,NA,38.58247674,18.35303167,49.04921552,31.39844791,16.87578423,19.86426891,14.18140545,18.69076372,Squamata,
Scincus_scincus,207,SCISCI,NA,54.10969321,37.63090744,54.57571547,57.85478469,NA,NA,NA,NA,Squamata,
Spalerosophis_diadema,208,SPADIA,NA,44.41335399,38.71942937,44.50703698,45.7759938,NA,NA,NA,NA,Squamata,
Stenodactylus_doriae,209,STEDOR,NA,40.75890009,23.0314892,47.23008373,37.68743889,NA,NA,NA,NA,Squamata,
NA,210,TASTAS,NA,25.06033365,14.87151467,24.98053104,27.80567416,NA,NA,NA,NA,Squamata,
Trachylepis_vittata,211,TRAVIT,NA,32.15065722,24.63619522,37.0510706,28.28613647,NA,NA,NA,NA,Squamata,
Walterinnesia_aegyptia,212,WALAEG,NA,33.91777072,4.932827152,31.48685165,44.35576014,NA,NA,NA,NA,Squamata,
Acanthocercus_atricollis,213,ACAT,NA,NA,-1.08846484,17.36807469,12.42797707,NA,NA,NA,NA,Squamata,
Agama_aculeata,214,AGAC,NA,NA,16.79594452,35.61937979,22.68322033,NA,NA,NA,NA,Squamata,
Agama_atra,215,AGAT,NA,NA,13.536449,27.48227878,17.58816165,NA,NA,NA,NA,Squamata,
Cordylus_cordylus,216,COCO,NA,NA,3.590525762,21.48596855,14.99471341,NA,NA,NA,NA,Squamata,
Cordylus_macropholis,217,COMA,NA,NA,12.49565294,15.39401262,14.87842318,NA,NA,NA,NA,Squamata,
Cordylus_niger,218,CONI,NA,NA,9.728249807,14.29698846,15.94943491,NA,NA,NA,NA,Squamata,
Cordylus_vittifer,219,COVI,NA,NA,12.82050057,23.11835837,18.40466707,NA,NA,NA,NA,Squamata,
Karusasaurus_polyzonus,220,KAPO,NA,NA,6.491492117,18.99148314,15.95257728,NA,NA,NA,NA,Squamata,
Ninurta_coeruleopunctatus,221,NICO,NA,NA,0.864353198,13.49361042,11.74098066,NA,NA,NA,NA,Squamata,
Ouroborus_cataphractus,222,OUCA,NA,NA,7.382633755,15.01919087,17.64707123,NA,NA,NA,NA,Squamata,
Platysaurus_broadleyi,223,PLBR,NA,NA,20.03806779,24.14585784,15.79880099,NA,NA,NA,NA,Squamata,
Pseudocordylus_microlepidotus,224,PSMI,NA,NA,-3.385852545,15.42092734,12.14329947,NA,NA,NA,NA,Squamata,
Smaug_warreni,225,SMBR,NA,NA,8.412300326,16.43352736,17.66361644,NA,NA,NA,NA,Squamata,
Smaug_giganteus,226,SMGI,NA,NA,-1.050648002,17.10560598,19.62106044,NA,NA,NA,NA,Squamata,
Smaug_mossambicus,227,SMVA,NA,NA,34.97138596,11.24622988,17.38093219,NA,NA,NA,NA,Squamata,
Lama_pacos,228,Alpaca.Black,NA,4.517596999,5.628891801,1.480488393,7.050632728,NA,NA,NA,NA,Mammalia,
Lama_pacos,229,Alpaca.Brown,NA,16.20160556,22.50662765,9.121305281,21.36064974,NA,NA,NA,NA,Mammalia,
Lama_pacos,230,Alpaca.Grey,NA,7.955338276,11.89781689,3.600243386,11.11815206,NA,NA,NA,NA,Mammalia,
Lama_pacos,231,Alpaca.White,NA,20.07878962,29.39694615,18.32616588,19.82196995,NA,NA,NA,NA,Mammalia,
Chinchilla_chinchilla,232,Chinchilla,NA,7.614016057,4.390216281,2.919103348,12.50568255,NA,NA,NA,NA,Mammalia,
Ovis_aries,233,MerinoFine,NA,25.49964398,31.20408319,24.94642041,24.87729977,NA,NA,NA,NA,Mammalia,
Ovis_aries,234,MerinoUltraFine,NA,25.43508263,38.73359829,23.96915528,24.14459024,NA,NA,NA,NA,Mammalia,
Ovibos_moschatus,235,QiviutMuskox,NA,11.22463053,13.764325,6.305856266,15.17628905,NA,NA,NA,NA,Mammalia,
Ovibos_moschatus,236,QiviutPeru,NA,9.800456595,10.03720524,4.029438856,14.97516129,NA,NA,NA,NA,Mammalia,
Ovibos_moschatus,237,QiviutPixie,NA,10.03746213,9.411737534,4.51784008,15.15783619,NA,NA,NA,NA,Mammalia,
Ovibos_moschatus,238,QiviutWoolery,NA,11.26318488,7.542057077,6.014271605,16.75370524,NA,NA,NA,NA,Mammalia,
Ursus_arctos,239,fift,NA,15.03800523,6.300149679,9.992416867,21.3916217,NA,NA,NA,NA,Mammalia,
Ursus_arctos,240,firs,NA,14.00572009,5.537741234,6.171314427,22.77809382,NA,NA,NA,NA,Mammalia,
Ursus_arctos,241,four,NA,18.42880014,6.212799596,11.27232325,27.39407072,NA,NA,NA,NA,Mammalia,
Ursus_arctos,242,seco,NA,11.44790864,5.820610226,5.4892594,17.93375672,NA,NA,NA,NA,Mammalia,
Ursus_arctos,243,thir,NA,19.28990091,6.970856029,13.14288042,27.34506245,NA,NA,NA,NA,Mammalia,
Tragelaphus_scriptus,244,A15,NA,10.56005264,5.902774447,4.166572501,16.47034776,NA,NA,NA,NA,Mammalia,
Rupicapra_rupicapra,245,A3,NA,13.44322995,7.940462897,2.266148053,23.66655564,NA,NA,NA,NA,Mammalia,
Petaurista_petaurista,246,A32,NA,12.54674913,10.02811847,5.287049577,18.40843365,NA,NA,NA,NA,Mammalia,
Vulpes_vulpes,247,A35,fulva,12.39199055,8.061583241,2.471620865,21.26347039,NA,NA,NA,NA,Mammalia,
Ovibos_moschatus,248,A38,NA,13.41064348,8.558230017,2.236258322,23.4169234,NA,NA,NA,NA,Mammalia,
Rangifer_tarandus,249,A4,NA,19.59852286,15.07564538,11.55080201,26.28656434,NA,NA,NA,NA,Mammalia,
Ratufa_indica,250,A9,NA,113.7384302,112.4952951,96.04800073,116.5003805,NA,NA,NA,NA,Mammalia,
Choloepus_didactylus,251,LE1,NA,16.3437193,13.17986138,7.133583391,24.06153753,NA,NA,NA,NA,Mammalia,
Colobus_ferrugineus,252,LE10,NA,10.42227801,9.994373307,4.037106496,15.04997224,NA,NA,NA,NA,Mammalia,
Dasypterus_ega_ega,253,LE11,NA,25.91383798,10.11647828,7.280669642,44.78830873,NA,NA,NA,NA,Mammalia,
Lasiurus_cinereus,254,LE12,NA,9.798862449,9.233160475,1.223660586,16.40758804,NA,NA,NA,NA,Mammalia,
Mellivora_capensis,255,LE16,NA,11.53413669,10.56447363,4.581734431,16.84012952,NA,NA,NA,NA,Mammalia,
Mustela_erminea,256,LE17,NA,18.03378351,10.28806321,6.245873107,29.11074313,NA,NA,NA,NA,Mammalia,
Mustela_erminea,257,LE18,NA,52.24988741,58.79754912,47.73066815,56.24413476,NA,NA,NA,NA,Mammalia,
Rubrisciurus_rubriventer,258,LE19,NA,19.05588374,9.740219971,5.092407511,32.44729062,NA,NA,NA,NA,Mammalia,
Bradypus_t._tridactylus,259,LE2,NA,11.89947345,10.22347623,4.278417037,17.95970535,NA,NA,NA,NA,Mammalia,
Ratufa_indica,260,LE20,NA,18.30440425,9.888311666,3.772467855,32.00553913,NA,NA,NA,NA,Mammalia,
Ratufa_bicolor,261,LE22,NA,15.53505602,10.65479933,3.574815168,26.10342507,NA,NA,NA,NA,Mammalia,
Ratufa_bicolor,262,LE23,NA,13.43229634,9.686889964,2.935709845,22.48750328,NA,NA,NA,NA,Mammalia,
Sciurus_niger,263,LE24,NA,22.96935491,12.31846045,12.99926749,32.90858444,NA,NA,NA,NA,Mammalia,
Solenodon_paradoxus,264,LE25,NA,12.66682621,4.833595168,10.01759374,16.32456285,NA,NA,NA,NA,Mammalia,
Crocuta_crocuta,265,LE27,NA,16.73687396,5.625185848,7.107726558,27.12081052,NA,NA,NA,NA,Mammalia,
Parahyaena_brunnea,266,LE28,NA,13.88649986,9.52643681,8.676311147,19.22926441,NA,NA,NA,NA,Mammalia,
Ailurus_fulgens,267,LE30,NA,15.23621352,1.220063888,2.660442425,29.3319522,NA,NA,NA,NA,Mammalia,
Trichosurus_vulpecula,268,LE31,NA,23.56213836,6.882332235,8.529041314,39.89731129,NA,NA,NA,NA,Mammalia,
Ornithorhynchus_anatinus,269,LE33,NA,15.4019317,7.225236546,3.027790179,27.36526428,NA,NA,NA,NA,Mammalia,
Ornithorhynchus_anatinus,270,LE34,NA,14.85500323,7.893164071,3.208579284,25.81947344,NA,NA,NA,NA,Mammalia,
Tachyglossus_aculeatus,271,LE35,NA,10.73885762,7.888757716,3.917232276,16.59361567,NA,NA,NA,NA,Mammalia,
Tachyglossus_aculeatus,272,LE36,NA,9.112385048,8.761548643,2.817764686,13.82359698,NA,NA,NA,NA,Mammalia,
Ursus_arctos,273,LE37,syriacus,19.98825836,10.9668025,11.48272709,28.44910211,NA,NA,NA,NA,Mammalia,
Helarctos_malayanus,274,LE38,NA,6.374232068,11.41584885,2.300989781,7.664452463,NA,NA,NA,NA,Mammalia,
Erinaceus_europaeus,275,LE39,NA,18.47183005,10.26798321,8.029450327,28.44718421,NA,NA,NA,NA,Mammalia,
Cyclopes_didactylus,276,LE40,NA,25.52163092,10.83488335,11.8880969,39.73738454,NA,NA,NA,NA,Mammalia,
Spilocuscus_maculatus,277,LE45,NA,18.72364951,15.19272162,7.395469685,27.88251144,NA,NA,NA,NA,Mammalia,
Cercopithecus_talapoin,278,LE5,NA,20.65230028,18.46118505,10.13666632,29.18785732,NA,NA,NA,NA,Mammalia,
Cercopithecus_griseoviridis,279,LE6,NA,14.5261787,16.97540431,5.049950103,20.65778112,NA,NA,NA,NA,Mammalia,
