studio: session log -> session_20260908_111739.jsonl
floor: building pipeline (modules ok)
floor: pipeline created
Compute pipeline created
THE ENGINE STUDIO: overlay ready (F1)
Vulkan engine initialized: 2560 x 1440, 2 frames in flight
Chimera Engine running at http://localhost:8091/state
  /frame  -> PNG of the current render (membrane if one is loaded)
  /membrane (POST) -> load a story membrane scene
Window: 2560x1440, Press Ctrl+C to stop.
Controls: Left-drag orbit | Scroll zoom | Right-drag pan
          WASD move | Q/E up-down | Space/Ctrl zoom | R reset | P pose toggle
          F1 THE ENGINE STUDIO overlay (pipeline board + live status)
FPS: 300 (frame 300) | ft ms avg 0.41 max 0.63 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.81 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.87 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.81 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.40 max 0.80 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.81 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.76 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.84 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.86 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.40 max 0.75 | >16.7ms: 0 >33ms: 0
snapshot: session_snapshot/mesh_bin.blob (348 B)
FPS: 90 (frame 165) | ft ms avg 8.20 max 1275.11 | >16.7ms: 1 >33ms: 1
FPS: 300 (frame 300) | ft ms avg 0.49 max 1.83 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.41 max 0.76 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 1.48 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.82 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.86 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.95 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.73 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.84 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.78 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 1.04 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.79 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 1.03 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.75 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 1.17 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.41 max 0.90 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.72 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.82 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.49 max 0.97 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.46 max 0.91 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.45 max 1.00 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.44 max 0.85 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.77 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.99 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.44 max 0.95 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.46 max 0.84 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.48 max 0.91 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.78 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.41 max 0.91 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.93 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.86 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.83 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.81 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.82 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.77 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.44 max 0.88 | >16.7ms: 0 >33ms: 0
