======================================================================
THE KERNEL — BONE v2 print run
N=320, column=4x4x18, seed=20260806, control=packed, dt=0.0005
----------------------------------------------------------------------
STATEMENT: A cold-ordered cushion-spaced column between two pinned
  anchor plates can be preloaded to 1.5x its end-weight, remain
  seated and intact, spring back elastically after half-release, and
  outperform a packed-bed control under overload.
PREDICTION: End gaps stay < R_C, zero escapees, force/length return
  within 10% after half-release, ordered deflection/load <= 1/2 of
  the packed-bed control under overload.
FALSIFIERS:
  (a) SEATING   — any end gap > r_c during preload hold
  (b) ESCAPE    — any column point with NN > r_c under preload
  (c) SPRING-BACK — force/length after release differ >10% from loading
  (d) ORDERED BEATS RANDOM — ordered deflection/load not 2x better
======================================================================

Derived end-weight = 1645.231
Derived F_pre      = 2467.847


[bone] N=320 column=288 plates=32
[bone] v_plate=0.05000 lu/tick, dt=0.0005
[bone] F_pre=2467.847

[bone] tick= 23000 phase=preload_hold | closure=0.92405 | force=1940.991 | length=0.24735 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 23500 phase=preload_hold | closure=0.92405 | force=1935.600 | length=0.24749 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1377 | clusters=   1 | bound=1.000
[bone] tick= 24000 phase=preload_hold | closure=0.92405 | force=1932.296 | length=0.24750 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 24500 phase=preload_hold | closure=0.92405 | force=1943.248 | length=0.24749 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1377 | clusters=   1 | bound=1.000
[bone] tick= 25000 phase=preload_hold | closure=0.92405 | force=1942.252 | length=0.24745 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 25500 phase=preload_hold | closure=0.92405 | force=1942.729 | length=0.24751 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 26000 phase=preload_hold | closure=0.92405 | force=1932.130 | length=0.24749 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 26500 phase=preload_hold | closure=0.92405 | force=1934.228 | length=0.24750 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 27000 phase=preload_hold | closure=0.92405 | force=1931.829 | length=0.24749 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 27500 phase=preload_hold | closure=0.92405 | force=1942.117 | length=0.24751 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 28000 phase=preload_hold | closure=0.92405 | force=1949.346 | length=0.24750 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 28500 phase=preload_hold | closure=0.92405 | force=1947.048 | length=0.24748 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 29000 phase=preload_hold | closure=0.92405 | force=1935.033 | length=0.24748 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 29500 phase=preload_hold | closure=0.92405 | force=1927.648 | length=0.24754 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 30000 phase=preload_hold | closure=0.92405 | force=1944.577 | length=0.24747 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 30500 phase=preload_hold | closure=0.92405 | force=1930.558 | length=0.24747 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 31000 phase=preload_hold | closure=0.92405 | force=1940.609 | length=0.24749 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 31500 phase=preload_hold | closure=0.92405 | force=1932.163 | length=0.24747 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 32000 phase=preload_hold | closure=0.92405 | force=1925.932 | length=0.24749 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 32500 phase=preload_hold | closure=0.92405 | force=1945.245 | length=0.24748 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 33000 phase=preload_hold | closure=0.92405 | force=1940.641 | length=0.24748 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 33500 phase=preload_hold | closure=0.92405 | force=1949.364 | length=0.24750 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 34000 phase=preload_hold | closure=0.92405 | force=1936.631 | length=0.24747 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 34500 phase=preload_hold | closure=0.92405 | force=1933.405 | length=0.24751 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 35000 phase=preload_hold | closure=0.92405 | force=1937.325 | length=0.24750 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 35500 phase=preload_hold | closure=0.92405 | force=1947.829 | length=0.24744 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 36000 phase=preload_hold | closure=0.92405 | force=1936.867 | length=0.24747 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 36500 phase=preload_hold | closure=0.92405 | force=1945.379 | length=0.24746 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000

[bone] releasing 9240 ticks (half convergence distance)

[bone] tick= 36958 phase=release      | closure=0.92405 | force=1956.378 | length=0.24751 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 37000 phase=release      | closure=0.92195 | force=990.516 | length=0.24754 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1378 | clusters=   1 | bound=1.000
[bone] tick= 37500 phase=release      | closure=0.89695 | force=1251.150 | length=0.25662 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1353 | clusters=   1 | bound=1.000
[bone] tick= 38000 phase=release      | closure=0.87195 | force=668.382 | length=0.26033 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1414 | clusters=   1 | bound=1.000
[bone] tick= 38500 phase=release      | closure=0.84695 | force=810.081 | length=0.26810 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1398 | clusters=   1 | bound=1.000
[bone] tick= 39000 phase=release      | closure=0.82195 | force=652.541 | length=0.25367 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1407 | clusters=   1 | bound=1.000
[bone] tick= 39500 phase=release      | closure=0.79695 | force=765.477 | length=0.27550 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1431 | clusters=   1 | bound=1.000
[bone] tick= 40000 phase=release      | closure=0.77196 | force=694.553 | length=0.27393 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1367 | clusters=   1 | bound=1.000
[bone] tick= 40500 phase=release      | closure=0.74696 | force=614.210 | length=0.24470 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1303 | clusters=   1 | bound=1.000
[bone] tick= 41000 phase=release      | closure=0.72196 | force=895.150 | length=0.25292 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1294 | clusters=   1 | bound=1.000
