bmi,eye_frac_of_stature,foot_breadth_m,foot_length_m,hand_breadth_m,hand_circumference_m,hand_length_m,head_height_m,leg_frac_of_stature,mass_kg,stature_m,trochanterion_m,waist_frac_of_stature,waist_height_m
26.99185151652331,0.9319148936170213,0.108,0.28,0.08700000000000001,0.20600000000000002,0.197,0.128,0.5335106382978724,95.4,1.8800000000000001,1.0030000000000001,0.6095744680851064,1.1460000000000001
28.23901128368653,0.9263521288837745,0.107,0.278,0.091,0.218,0.192,0.128,0.5287686996547756,85.30000000000001,1.738,0.919,0.5960874568469505,1.036
29.93259180325906,0.9232987312572087,0.094,0.27,0.08700000000000001,0.211,0.196,0.133,0.5196078431372549,90.0,1.734,0.901,0.580161476355248,1.006
25.23603246048899,0.925783397471138,0.096,0.28400000000000003,0.083,0.203,0.20400000000000001,0.135,0.5475536008796041,83.5,1.819,0.996,0.6129741616272677,1.115
30.044247303343454,0.9144385026737968,0.1,0.265,0.088,0.21,0.194,0.14400000000000002,0.5323826500297089,85.10000000000001,1.683,0.896,0.6149732620320856,1.035
27.229469753887486,0.9322314049586777,0.10400000000000001,0.275,0.088,0.212,0.192,0.123,0.5327823691460055,89.7,1.815,0.967,0.6055096418732783,1.099
26.470565914592964,0.9217630853994491,0.10300000000000001,0.279,0.085,0.20800000000000002,0.199,0.14200000000000002,0.5046831955922865,87.2,1.815,0.916,0.5878787878787879,1.067
29.36837626106271,0.9163179916317992,0.092,0.246,0.08,0.193,0.177,0.14,0.5050806933652122,82.2,1.673,0.845,0.5851763299462044,0.979
33.16867314271091,0.9235390496996176,0.107,0.28500000000000003,0.095,0.227,0.209,0.14,0.519388312397597,111.2,1.831,0.9510000000000001,0.5898416166029492,1.08
30.632909428077063,0.9292479108635098,0.10400000000000001,0.263,0.092,0.223,0.191,0.127,0.5342618384401114,98.7,1.795,0.9590000000000001,0.5855153203342618,1.051
32.46157122817841,0.9257452574525745,0.11,0.275,0.09,0.214,0.197,0.137,0.5327913279132791,110.5,1.845,0.983,0.6048780487804878,1.116
27.4774602253222,0.9229401304090101,0.095,0.246,0.085,0.21,0.182,0.13,0.4955542382928275,78.2,1.687,0.836,0.5909899229401304,0.997
28.181931393050057,0.9248291571753986,0.10400000000000001,0.274,0.09,0.215,0.19,0.132,0.534738041002278,86.9,1.756,0.9390000000000001,0.5825740318906606,1.0230000000000001
41.464722999217074,0.9295774647887324,0.117,0.294,0.098,0.233,0.20800000000000002,0.13,0.547670639219935,141.3,1.846,1.0110000000000001,0.6034669555796316,1.114
